tweet_created_at,tweet_display_text_range,tweet_entities,Text,tweet_id,tweet_lang,tweet_metadata,ReplyCount,LikeCount,user_followers_count,user_following,user_id,user_lang,hashtag
Fri Sep 07 16:25:06 +0000 2018,"[0, 75]","{'hashtags': [{'text': 'quote', 'indices': [47, 53]}, {'text': 'motivation', 'indices': [54, 65]}, {'text': 'justdoit', 'indices': [66, 75]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1038100853872197632, 'id_str': '1038100853872197632', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/DmgTOfwVAAAJqoh.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DmgTOfwVAAAJqoh.jpg', 'url': 'https://t.co/J9lLdszdW6', 'display_url': 'pic.twitter.com/J9lLdszdW6', 'expanded_url': 'https://twitter.com/UltraYOUwoman/status/1038100857932394496/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 612, 'h': 612, 'resize': 'fit'}, 'large': {'w': 612, 'h': 612, 'resize': 'fit'}, 'medium': {'w': 612, 'h': 612, 'resize': 'fit'}}}]}",done better perfect sheryl sandberg quote motivation justdoit,1.0381E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,307,57983,FALSE,3188618684,en,quote
Fri Sep 07 16:24:59 +0000 2018,"[0, 237]","{'hashtags': [{'text': 'hero', 'indices': [90, 95]}, {'text': 'fdny', 'indices': [96, 101]}, {'text': 'likesforlikes', 'indices': [102, 116]}, {'text': 'promo', 'indices': [117, 123]}, {'text': 'music', 'indices': [124, 130]}, {'text': 'instagood', 'indices': [131, 141]}, {'text': 'instadaily', 'indices': [142, 153]}, {'text': 'postoftheday', 'indices': [154, 167]}, {'text': 'bestoftheday', 'indices': [168, 181]}, {'text': 'justdoit', 'indices': [182, 191]}, {'text': 'nike', 'indices': [192, 197]}, {'text': 'picoftheday', 'indices': [198, 210]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sFobQ2ukpo', 'expanded_url': 'https://www.facebook.com/241998672453/posts/10156871528042454/', 'display_url': 'facebook.com/241998672453/p…', 'indices': [214, 237]}]}",shout great fire department tour much love nyc hero fdny likesforlikes promo music instagood instadaily postoftheday bestoftheday justdoit nike picoftheday,1.0381E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,1178,13241,FALSE,18387174,en,hero
Fri Sep 07 16:24:50 +0000 2018,"[0, 176]","{'hashtags': [{'text': 'JustDoIt', 'indices': [127, 136]}, {'text': '4YourMorning', 'indices': [137, 150]}, {'text': '4YourMemeCollection', 'indices': [151, 171]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1038100773396041728, 'id_str': '1038100773396041728', 'indices': [177, 200], 'media_url': 'http://pbs.twimg.com/media/DmgTJz9UUAA57tu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DmgTJz9UUAA57tu.jpg', 'url': 'https://t.co/6ok9qR6k6M', 'display_url': 'pic.twitter.com/6ok9qR6k6M', 'expanded_url': 'https://twitter.com/rachelbogle/status/1038100793147248640/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1957, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 1147, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 650, 'h': 680, 'resize': 'fit'}}}]}",amazingly hilarious nike ad memes happening newsfeed soooo decided get little creative justdoit yourmorning yourmemecollection,1.0381E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,11864,11377,FALSE,32645612,en,JustDoIt
Fri Sep 07 16:24:44 +0000 2018,"[0, 88]","{'hashtags': [{'text': 'kapernickeffect', 'indices': [0, 16]}, {'text': 'swoosh', 'indices': [17, 24]}, {'text': 'justdoit', 'indices': [25, 34]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BhPBnjOkuU', 'expanded_url': 'https://www.instagram.com/p/Bnbna3mhMgN21kk-5cZNvdYBBLoalVeRhnUJh00/?utm_source=ig_twitter_share&igshid=17b366pgjetob', 'display_url': 'instagram.com/p/Bnbna3mhMgN2…', 'indices': [65, 88]}]}",kapernickeffect swoosh justdoit lucas bishops cigar lounge,1.0381E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,487,218,FALSE,175932740,en,kapernickeffect
Fri Sep 07 16:24:39 +0000 2018,"[0, 132]","{'hashtags': [{'text': 'shaquem', 'indices': [74, 82]}, {'text': 'NFL', 'indices': [84, 88]}, {'text': 'Seattle', 'indices': [89, 97]}, {'text': 'Seahawks', 'indices': [98, 107]}, {'text': 'griffin', 'indices': [108, 116]}, {'text': 'JustDoIt', 'indices': [117, 126]}, {'text': 'Nike', 'indices': [127, 132]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0EbEmwULLF', 'expanded_url': 'https://www.noluckneeded.com/one-hand-one-dream-shaquem-griffin-the-nfl-rookie-t21056.html', 'display_url': 'noluckneeded.com/one-hand-one-d…', 'indices': [48, 71]}], 'media': [{'id': 1038100736595255296, 'id_str': '1038100736595255296', 'indices': [133, 156], 'media_url': 'http://pbs.twimg.com/media/DmgTHq3U4AAYsl3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DmgTHq3U4AAYsl3.jpg', 'url': 'https://t.co/pr8eosDZS7', 'display_url': 'pic.twitter.com/pr8eosDZS7', 'expanded_url': 'https://twitter.com/NoLuckNeeded/status/1038100745344753665/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 759, 'h': 420, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 376, 'resize': 'fit'}, 'large': {'w': 759, 'h': 420, 'resize': 'fit'}}}]}",one hand one dream shaquem griffin story shaquem nfl seattle seahawks griffin justdoit nike,1.0381E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,32971,13731,FALSE,22306628,en,shaquem
Fri Sep 07 16:24:35 +0000 2018,"[17, 96]","{'hashtags': [{'text': 'JUSTDOIT', 'indices': [87, 96]}], 'symbols': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}], 'urls': []}",realdonaldtrump time stock new running apparel nike justdoit,1.0381E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,9622,64,FALSE,15566700,en,JUSTDOIT
Fri Sep 07 16:24:24 +0000 2018,"[0, 89]","{'hashtags': [{'text': 'RegisterToVote', 'indices': [56, 71]}, {'text': 'JustDoIt', 'indices': [80, 89]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/x9I3qgZDEH', 'expanded_url': 'https://twitter.com/NathanLerner/status/1037813342008692736', 'display_url': 'twitter.com/NathanLerner/s…', 'indices': [90, 113]}]}",wont trump protect elections think registertovote vote justdoit,1.0381E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,16358,11555,FALSE,174307749,en,RegisterToVote
Fri Sep 07 16:24:13 +0000 2018,"[0, 138]","{'hashtags': [{'text': 'JustDoIt', 'indices': [129, 138]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [0, 5]}], 'urls': []}",nike good job shaking whole world see millions millions dollars worth free advertising justdoit,1.0381E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,921,88,FALSE,7.44E+17,en,JustDoIt
Fri Sep 07 16:24:09 +0000 2018,"[0, 143]","{'hashtags': [{'text': 'JustDoIt', 'indices': [105, 114]}, {'text': 'TakeAKnee', 'indices': [115, 125]}, {'text': 'TakeAKneeInNikes', 'indices': [126, 143]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [75, 80]}, {'screen_name': 'nikestore', 'name': 'Nike.com', 'id': 17351972, 'id_str': '17351972', 'indices': [81, 91]}, {'screen_name': 'Kaepernick7', 'name': 'Colin Kaepernick', 'id': 45055696, 'id_str': '45055696', 'indices': [92, 104]}], 'urls': [], 'media': [{'id': 1038099973278244864, 'id_str': '1038099973278244864', 'indices': [144, 167], 'media_url': 'http://pbs.twimg.com/media/DmgSbPSXoAAMNaO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DmgSbPSXoAAMNaO.jpg', 'url': 'https://t.co/TIFLnv2puQ', 'display_url': 'pic.twitter.com/TIFLnv2puQ', 'expanded_url': 'https://twitter.com/elizmopi/status/1038100620580933634/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}}}]}",great way meet good peoplewearing nike gear park thanks nike nikestore kaepernick justdoit takeaknee takeakneeinnikes,1.0381E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,14866,393,FALSE,21149200,en,JustDoIt
Fri Sep 07 16:23:51 +0000 2018,"[0, 122]","{'hashtags': [{'text': 'FX', 'indices': [48, 51]}, {'text': 'FeelGoodFriday', 'indices': [52, 67]}, {'text': 'FridayFeeling', 'indices': [68, 82]}, {'text': 'TRADERMONI', 'indices': [83, 94]}, {'text': 'JustDoIt', 'indices': [95, 104]}, {'text': 'FridayMotivation', 'indices': [105, 122]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1038100525554827266, 'id_str': '1038100525554827266', 'indices': [123, 146], 'media_url': 'http://pbs.twimg.com/media/DmgS7YrXgAISaug.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DmgS7YrXgAISaug.jpg', 'url': 'https://t.co/rtmVToSucq', 'display_url': 'pic.twitter.com/rtmVToSucq', 'expanded_url': 'https://twitter.com/icmnigeria/status/1038100542818533376/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 1167, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 1245, 'resize': 'fit'}, 'small': {'w': 680, 'h': 661, 'resize': 'fit'}}}]}",leadtrade succeed icm please retweet fx feelgoodfriday fridayfeeling tradermoni justdoit fridaymotivation,1.0381E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,15,7,FALSE,1.03E+18,en,FX
